Tags,Body,Title
 android react-native ,    I want to realize a circle mask on an image so i have this view:&lt,    [react-native]how to realize mask effect
 android performance android-layout android-fragments countdowntimer  ,    I have created a timer that starts when user opens the application. When user does any activity the timer needs to get reset.I don't want to go to each activity and reset timer on user actions. I want to handle this globally from one place. Is it possible to get user action in Main Application and reset timer from there.So i won't need to do following in each activity.@overidepublic void onUserInteraction() {     super.onUserInteraction(),    How to know user has click on any activity screen from  place in Application
 android gridview checkbox android-adapter ,    So I have a Gridview where each grid item consists of an ImageView and a Checkbox. It calls Image Adapter to populate the grid dynamically. Now when I select one checkbox lets say number  another checkbox like number  gets selected automatically. Similar for deselection. I cannot figure out why this is happening. Any help will be appreciated. Thanks!public class SignupFarmerCrop extends ActionBarActivity implements View.OnClickListener {GridView gridView,    Multiple checkboxes get (de)selected when one is checked in Gridview - Android
 java android  ,        { \\ \\\\ \\\\\\\\\\\\\}      List&lt,    how to remove duplicate Element from Arraylist in java
 android exit back-button ,    When a user presses the back button on an intent the application should quit. How can I ensure the application quits when the back button is pressed?,    android pressing back button should exit the app
 android tablet device-driver samsung-mobile  ,    I am trying to test my android application on a samsung s phone with android version .. I downloaded the usb driver from the official website but the program does not detect the phone returning a message telling me that samsung mobile mtp device failedany help please?,    samsung mobile mtp device failed to install
 android firebase firebase-database recyclerview ,    I have implemented FirebaseRecyclerAdapter for a dynamic recyclerView and while I am trying to delete an item from the list initially items at wrong indexes are getting deleted and after more items deletion i am getting IndexOutOfBoundsException. I have already tried all solutions I found which can be seen as commented inside populateViewHolder() method. Please if you have to downvote atleast give a proper answer and downvote it as I have already tried all solutions possible. Below I am posting my code. Please have a look.Check for the delete.setOnClickListener():     adapter = new FirebaseRecyclerAdapter&lt,    RecyclerView index not updating while removing item using FirebaseRecycleradapter
 android android-resources multi-project  ,    I am having an issue with the naming of the application when the label string comes from an android library in a multi module project.Here's some codeapplication/src/main/AndroidManifest.xml&lt,    Incorrect application label when using android library
 android android-animation android-toolbar ,    I've recently come across an animation effect on toolbar as captured on the animation gif (image attached below [Animation effect on toolbar gif]) below. I've problems figuring out how to achieve that kind of effect. It looks to me as if it's a combination of something from FlexibleSpaceToolbarScrollViewActivity (from ObservableScrollView library) and <a href=\https://github.com/lgvalle/Material-Animations\ rel=ofollow noreferrer\>Android material animation library</a>. Is there any third party library that provides such kind of similar effect? Thanks.Animation effect on toolbar gif:<img src=\https://i.stack.imgur.com/RqfFe.gif\ alt=\\>,    Animation effect on toolbar
 android android-intent navigation-drawer  ,    I have used the NavigationDrawer Template in my application but the Functions of the Intent not working properly. I already implemented the navigation listener in class declaration but still the intent navigation not working. This is the place I got stuck at the first time. I have searched many sites but nothing happened in my application. Can you help me? I added some extra comments please dont consider itpublic class MainActivity extends AppCompatActivity        implements ViewPager.OnPageChangeListener {    /**     * Extra to add the the launch intent to specify that user comes from the notification (used to     * show not the current month but the last one)     */    public static final String FROM_NOTIFICATION_EXTRA = \fromNotif\,    NavigationDrawer Intent function not working
 android service ,    I readed all similar questions and tried them but I can't solve my problem. I create a service  this service show toast message every sec. But I can't stop this service. Could you please help me to fix or different way? Thank you.public class myservice extends Service {@Nullable@Overridepublic IBinder onBind(Intent intent) {    return null,    Stop service &quot;handler loop code&quot; doesn&#;t work
 android android-fragments android-permissions android-.-marshmallow  ,    The question title may sounds complicated but here is my situation.I have a map fragment within an activity. Simple.turn on Storage permission to allow display of Map works fine.Backgrounds the app by pressing Home button then turn off the Storage permission and open the app from recent task app crashes.The problem is instead of calling onResume() of the host Activity onCreate() is called on the host Activity as well as onCreateView() of the Map fragment. Thus it is throwing Exceptions.It seems like the app process is killed when permission is changed and thus Activity is recreated.    - ::.: E/AndroidRuntime():    at com.android.internal.os.ZygoteInit.main(ZygoteInit.java:)- ::.: E/AndroidRuntime(): Caused by: java.lang.NullPointerException: Attempt to write to field 'int android.support.v.app.Fragment.mNextAnim' on a null object reference- ::.: E/AndroidRuntime():    at android.support.v.app.BackStackRecord.run(BackStackRecord.java:)- ::.: E/AndroidRuntime():    at android.support.v.app.FragmentManagerImpl.execPendingActions(FragmentManager.java:)- ::.: E/AndroidRuntime():    at android.support.v.app.FragmentActivity.onStart(FragmentActivity.java:)From super.onStart() from the Activity,    onCreate() gets called when reopen from recent task after permission settings is changed
 android ,    I am trying to handle on click event for buttons inside cardviews which i've added dynamically inside RecycleView  i am getting same id for every clicks of buttons.Adapter.Javapublic ViewHolder onCreateViewHolder(ViewGroup parent int viewType) {    if (viewType==) {      View itemView = LayoutInflater.                from(parent.getContext()).                inflate(R.layout.room_detail_card_view parent false),    How to handle onclick events for dynamically added buttons in cardview (inside Recycle View)
 android firebase  ,    I get the following error while integrating Firebase into my project for the first time. Could not find: com.google.firebase:firebase-core:..I followed the steps mentioned on the Firebase documentation in the section Add Firebase to your Android Project topic Available libraries.I updated my packages Google Play Services (rev ) and Google Repository (rev ).What are my options to resolve this error?,    Could not find: com.google.firebase:firebase-core:..
 android ios google-maps ionic-framework ionic ,    I've installed the Google Maps plugin as instructed on the Ionic documentation :<blockquote>  <a href=\https://ionicframework.com/docs/v/native/google-maps/\ rel=ofollow noreferrer\>https://ionicframework.com/docs/v/native/google-maps/</a></blockquote>However I am getting the below error <blockquote>  EXCEPTION: Uncaught (in promise): [object Object])</blockquote>I ran on it on the web browser as well as on a native device it does not work in all the cases.Any idea about what's going on ?,    Ionic - Google Maps Plugin Error: EXCEPTION: Uncaught (in promise): [object Object])
 java php android mysql json  ,    I'm trying to create a simple android app. I'm using wamp MySQL to create the database and server. The android app is supposed to fetch user information by ID. But there is this problem when I tried to make it into Android app. This is my first time using JSON. Help is greatly appreciated. public class SelectActivity extends Activity { StrictMode.ThreadPolicy policy = new StrictMode.ThreadPolicy.Builder().permitAll().build(),    ERROR with json.JSONException: Value &lt;br of type java.lang.String cannot be converted to JSONObject
 android facebook android-studio facebook-graph-api ,    I have already implemented facebook sign in android studio. Now i want to implement graph API to access user data from and save it in firebase database but i don't have any idea to implement as i already used facebook help but the code shows error. I also have to implement to get user permissions to access more than just public profile. it would be highly appreciated if someone could step by step guide me.Thanks new GraphRequest(                        loginResult.getAccessToken()                        \/{user-id}/likes\                        null                        HttpMethod.GET                        new GraphRequest.Callback() {                            public void onCompleted(GraphResponse response) {            /* handle the result */                                textViewLongitude.setText(String.valueOf(response)),    how to implement facebook graph api in android to get user data after implementing facebook login?
 android android-studio firebase firebase-database  ,    So I'm trying to generate a new push key and save the  children under it on each button click...however Every time I submit my requests it either replaces the key or does not change anything if the data entered in my edit text is the same as it was initially entered here is my code.   DatabaseReference reference = FirebaseDatabase.getInstance().getReference().push(),    I&#;m having a small issue using .push() to store data under key without replacing the childs
 android android-studio android-gradle multidex android-multidex ,    The error<blockquote>  Error:Execution failed for task ':app:transformClassesWithDexForDebug'.  com.android.build.transform.api.TransformException: com.android.ide.common.process.ProcessException: org.gradle.process.internal.ExecException: Process 'command '/usr/lib/jvm/java--oracle/bin/java'' finished with non-zero exit value </blockquote>My app gradle file:apply plugin: 'com.android.application'apply plugin: 'com.google.gms.google-services'android {    compileSdkVersion     buildToolsVersion \..\    defaultConfig {        applicationId 'Hidden application ID'        minSdkVersion         targetSdkVersion         versionCode         versionName \.\        multiDexEnabled true    }    buildTypes {        debug {            minifyEnabled false            proguardFiles getDefaultProguardFile('proguard-android.txt') 'proguard-rules.pro'        }        release {            minifyEnabled true            proguardFiles getDefaultProguardFile('proguard-android.txt') 'proguard-rules.pro'        }    }    lintOptions {        disable 'InvalidPackage'    }    packagingOptions {        exclude 'META-INF/services/javax.annotation.processing.Processor'    }    productFlavors {    }}repositories {    mavenCentral()}dependencies {    compile fileTree(include: ['*.jar'] dir: 'libs')    compile 'com.android.support:multidex:..'    compile 'com.android.support:appcompat-v:..'    compile 'com.android.support:design:..'    compile 'com.android.support:cardview-v:..'    compile 'com.jakewharton:butterknife:..'    compile 'com.mcxiaoke.volley:library-aar:..'    compile 'com.google.android.gms:play-services:..'    compile 'com.facebook.android:facebook-android-sdk:..'    compile 'com.googlecode.libphonenumber:libphonenumber:..'    compile 'com.getbase:floatingactionbutton:..'    compile 'com.android.support:preference-v:..'}While debugging if I set minifyEnabled to true then it compiles. However then I cannot debug my application.I checked this other question: <a href=\http://stackoverflow.com/questions//execution-failed-for-task-apptransformclasseswithdexfordebug-while-implement\>Execution failed for task &#,    Error:Execution failed for task &#;:app:transformClassesWithDexForDebug&#;
 android  ,    I am trying to show error icon in Edit Text and tried below code but it does not show error icon in all Edit Text Fields.txtEmailAddess.requestFocus(),    Error Icon is not showing in all EditText fields
 java android sleep-mode ,    I am trying to make an app that puts the device in sleep mode (kinda turns off the screen) I've come across the device policy manager but it locks the device so that ie the fingerprint unlocking method isn't available. What I am searching for is used for example in the app \greenify\ which allows to make a shortcut that puts the device in sleep mode. How is this done programmatically? ,    Programmatically sleep mode
 android caching retrofit okhttp cache-control  ,    What i want to do is at a specific time bypass cache make an http request and then update the new result back to cache for the next time I need it. Is there any way to do this with retrofit + okhttp in android??,    Bypass cache and then update it in retrofit
 android onclick imageview android-adapter recycler-adapter ,    The ImageView is generated for every RecyclerView item and every item will have a different number of ImageViews. I have generated the ImageViews but now i have to set OnClick for every image generated in every item. I have no idea on how to do this. Any help would be appreciated.ImageView Generating Code in Adapter : @Overridepublic void onBindViewHolder(ListHolder holder final int position) {    holder.name.setText(names[position]),    How to set Onclick for ImageViews generated dynamically in Adapter for RecyclerView
 android ios google-cloud-messaging apple-push-notifications firebase-cloud-messaging  ,    I just started working on notifications on iOS and it seems that apple has defined a format for payload to receive notifications.So currently I am using this payload and everything is working as expected. I am getting title subtitle body sound image.{\aps\ : {        \alert\ : {            \title\ : \Introduction To Notification\            \subtitle\ : \Session \            \body\ : ew Notification Look Amazing\        }       \sound\ : \default\        \category\ : \message\        \badge\ :         \mutable-content\:     }    \attachment-url\: \https://pusher.com/static_logos/x.png\}Lets say I want to have a single payload for both Android and iOS.Is there a standard format defined in Android for notifications or can you set any data in Android and the client has to manually handle and display these notifications?How can I create a payload which works for both?,    Is aps dictionary necessary in iOS notification payload? Can we have same payload for iOS and Android?
 android android-studio unityd plugins android-library ,    I am able to export Unityd android project and import it in android studio but how do i import more than one unityd project in to android studio?I tried importing it as a module but didn't work. Every unityd project dependent on unity-classes.jar file so when I import more than one projects it throws error     <blockquote>  Error:Execution failed for task :app:transformNative_libsWithMergeJniLibsForDebug'.  com.android.build.api.transform.TransformException: com.android.builder.packaging.DuplicateFileException:   Duplicate files copied in APK lib/armeabi-va/libmain.so</blockquote>,    import more than one unityd projects to android studio?
 android deep-linking  ,    I have implemented a DeeplinkActivity to catch the intent-filter data scheme and open an activity. The issue I am having is the app is already open in the background and then the user clicks a deep link to open the home screen activity. If the user presses back to get out of the app it will go to what was running in the background. I wanted it to just back out of the app.I have tried this.        Intent intent = new Intent(this LaunchActivity.class),    Deep link into an app while the app is already running in the background
 android android-studio firebase ,    Problem: I had a problem in installing my apk to my devices having below errorsSolutions made: <ul>Build > Clean Project and then Build > Rebuild ProjectRestarted Android StudioInserted this code to my build gradle and error not solveandroid {    dexOptions {    incremental = true,    Android Studio . Error converting bytecode to dex
 android textview android-styles  ,    I have a very simple textview:&lt,    Android text styling error - Resource is not a ColorStateList
 java android sharedpreferences android-sharedpreferences ,    old preference value to compare with new preference value.networkstatus = sharedPreferences.getString(SharedPref.KEY_NETWORKSTATUS etwork Status\),    how to compare previous and current shared preference value in Android
 android notifications  ,    When my application fires a notification i want a method to be called after the user clicks the notification This's how i create a notification :    Intent alarmIntent = new Intent(MainActivity.this AlarmReceiver.class),    Android: Detect status bar notification click
 android xml android-layout ,    How can i remove gap between two views if layout is defined as horizontally I have define horizontally layout but want to remove gap which is coming as attached snapshot by using below code <a href=\https://i.stack.imgur.com/qkIr.png\ rel=ofollow noreferrer\>Attached snapshot</a>How can i remove this gap or space ?xml:-&lt,    How can i remove gap between two views if layout is defined as horizontally
 java android android-fragments dictionary supportmapfragment  ,    You need to get the map management in the fragment.My codepublic class Fragment extends android.support.v.app.Fragment implements OnMapReadyCallback{GoogleMap gm,    Android getMapAsync in Fragment
 android cts android-for-work ,    I want to create custom cts package for android for work. Can anybody help me on that? <a href=\http://source.android.com/devices/tech/admin/testing-provision.html#build_harness\ rel=ofollow noreferrer\>http://source.android.com/devices/tech/admin/testing-provision.html#build_harness</a>Please refer the above link for more info about my requirement.Thanks,    Want to create a CTC package to verify android for work
 android google-maps android-maps-v ,    I am using com.google.android.gms:play-services-maps:.. version of Google Maps services. When trying to call the below I get java.lang.NullPointerException: Attempt to invoke virtual method 'void com.google.android.gms.maps.SupportMapFragment.getMapAsync(com.google.android.gms.maps.OnMapReadyCallback)' on a null object reference.@Overridepublic View onCreateView(LayoutInflater inflater ViewGroup container                         Bundle savedInstanceState) {    SupportMapFragment mapFragment = (SupportMapFragment) getActivity().getSupportFragmentManager()            .findFragmentById(R.id.map),    mapFragment.getMapAsync(this) - NullPointerException
 python numpy  ,I want to get row index of true values by column from a -D ndarray. By far I have a solution with a for loop. But I think this isn't efficient because there exits a python native for-loop. I try to figure out a vectorized solution but failed.arr = np.random.randint( size=).reshape(()).astype(bool)print arr[[ True False  True False  True] [False  True False  True  True] [ True  True False False  True]]def calc(matrix):    result = []    for i in range(matrix.shape[]):        result.append(np.argwhere(matrix[: i]).flatten().tolist())    return resultprint calc(arr)[[ ] [ ] [] [] [  ]]Note: I want row indices grouped by columns.,numpy most efficient way to get row index of true values by columns
 python parsing split ,"I edit the sampleHere is sample textfile.txt    -------!@#$-------    text line    text line    -------!@#$-------    dummy text dummy test dummy test    dummy test dummy test dummy test            -------!@#$-------    text line    text line    -------!@#$-------I want to parse \""text line \ text line \""  → array []\""text line \ text line \""  → array []How should I source coding in python?",How can I parse multilines in text file using python?
 python matlab merge grouping cluster-analysis  ,A set of large number of nD points with an additional attribute for each point such as an ID look like (D case):n = ;points = rand(n);repeated = randperm(n);points = [points; points(repeated(:n/):)];n = size(points);attributes = randperm(n);I am looking for an efficient solution to achieve the following:keys: pointsvalues: IDse.g.(. . .): [  ](. . .): [     ... ]...In Python world a dict could be built based on tuple of floats as keys and values can be list. Wondering if there is an efficient solution in Matlab's world as well?Note that cell mimics list but is not efficient and the code cannot be translated into mex for greater performance.Edit:The above result would be the output of merge function (not manually inserted) which is the main interest of this question as in the title.It tends to be slow cell or struct in Matlab while working with large data and lots of comparisons. While answering please be reminded of two big concerns:<ul>efficient in speedfriendly with memory (should work under few GB RAM)</ul>,Efficient Solution to Merge nD Points
 python python-.x module documentation ,"guys here is the link form where I downloaded a module and i installed it to my pycharm. But there is no much documentation about the module like how to use it what functions it has etc. can someone explain me that module??link: <a href=\""https://pypi.python.org/pypi/windowsprefetch/..\"" rel=\""nofollow noreferrer\"">https://pypi.python.org/pypi/windowsprefetch/..</a> ",how do I install rd party modules in python .
 python list python-.x while-loop  ,I have a problem where I need to (pretty sure at least) go through the entire list to solve. The question is to figure out the largest number of consecutive numbers in a list that add up to another (greater) element in that list. If there aren't any then we just take the largest value in the list as the candidate summation and  as the largest consecutive number of elements.my general code works but not too well for large lists (> elements) just looking for tips as to how I could approach the problem different. My current approach:L = []candidate_sum = L[-]largest_count =  N = len(L)i = while i &lt; N - :    s = L[i]    j =     while s &lt;= (N - L[i + j + ]):        j +=         s += L[i+j]        if s in L and (j+) &gt; largest_count:             largest_count = j+             candidate_sum = s    i+=In this case the answer would be [] as they add up to  and the length is  (obviously this example L is a very simple example)I then made it faster by changing the initial while loop condition to:while i &lt; (N-)/largest_countnot a great assumption but basic thinking that the distribution of numbers is somewhat uniform so two numbers on the second half of the list are on average bigger than the final number in the list and therefore are disqualified.Im just looking for:<ul>possible bottleneckssuggestions as to different approaches to try</ul>,speeding up python code that has to go through entire list
 python postgresql sqlalchemy key-value ,"I've got to access a pretty messy postgresql database. The one table has three columns:PK [PK]Bigint| a_key [PK] text[] | a_val text[] {name job age} {'John' 'Eng' ''} {job ID} {'IT' ''} {ID age name BFF} {'' '' 'Piet' 'John'}I'm trying to use some sqlalchemy in python to find the primary key of a row based on a value inside key/value pair:RETURN PK where name == 'John'I've can get all the rows that have a \""name\"" entry and then do a loop in python to find \""John\"":obj = session.query(table).filter(table.c.a_key.any(u'name')).all()but I would rather have the database figure it all out and just return the 'PK'.  Any ideas?",SQLALCHEMY: getting row ID from value inside key/value pair
 python python-requests urllib socks  ,"I'm trying to access the following domain nzxjxvhfkhk.onion using requests.<br>I have tor running and I configured the session's object proxies correctly.import requestssession = requests.session()session.proxies = {'http':  'socks://localhost:'                   'https': 'socks://localhost:'}print(session.get('http://httpbin.org/ip').text) # prints {\""origin\"": \""...\"" }print(requests.get('http://httpbin.org/ip').text) # prints {\""origin\"": \""...\"" }However when I try to access the URL with the .onion domain I get the following error:session.get('http://nzxjxvhfkhk.onion/all')ConnectionError: SOCKSHTTPConnectionPool(host='nzxjxvhfkhk.onion' port=): Max retries exceeded with url: /all (Caused by NewConnectionError('&lt;requests.packages.urllib.contrib.socks.SOCKSConnection object at xfecdbbd&gt;: Failed to establish a new connection: [Errno -] Name or service not known'))Performing the same request using urllib works just fine.import socks socket urllibdef create_connection(address timeout=None source_address=None):  sock = socks.socksocket()  sock.connect(address)  return socksocks.setdefaultproxy(socks.PROXY_TYPE_SOCKS '...' )socket.socket = socks.socksocketsocket.create_connection = create_connectionprint(urllib.urlopen('http://nzxjxvhfkhk.onion/all').read()) # Prints the URL's contentsI'm using Python .. requests .. &amp; PySocks ... Tor is running through a docker container with the following command:  sudo docker run -it -p : -p : -d dperson/torproxyWhat am I doing wrong here? What do I need to do to make requests recognize the .onion URLs?",Fetching a .onion domain with requests
 python bluetooth-lowenergy pybluez ,"how in the world is this a duplicate? I'm looking for BLE (Bluetooth Low Energy) peripheral library not some random old code to discover some devicesThere is an awesome <a href=\""https://github.com/sandeepmistry/bleno\"" rel=\""nofollow noreferrer\"">library Bleno</a> (ble for nodejs) which is well documented and really looks easy to use. Is there something similar for Python basically I would like to implement something similar (but way more complex) to this <a href=\""https://github.com/sandeepmistry/bleno/tree/master/examples/battery-service\"" rel=\""nofollow noreferrer\"">Bleno example</a> I know there is PyBluez which I installed but I can't get passed the beginner <a href=\""https://github.com/karulis/pybluez/blob/master/examples/ble/beacon.py\"" rel=\""nofollow noreferrer\"">beacon example</a> cuz I don't see any (useful) documentation/examples where I would use events like .on('stateChange' 'advertisingStart' ..) and add pairing services and characteristics and so onany guidance would be appreciatedthanks",well documented BLE library for Python?
 python pandas dataframe  ,I have two data frames DF DF that I want to merge on certain conditions.They are both indexed by dates but of different lengths.I want to get a data frame similar to DF but where for a given date the value is modified to the value of DF if and only if there is a value for the same date in DF.FromDF                 v        --   .--  -.--   .--   .--   .AndDF              v        --   .--   .--   -.GetDF                    v            --   .    --   .    --   .    --   .    --   -.,How to merge these two data frames?
 python django email website smtp ,In my settings.py I have the following: EMAIL_BACKEND = 'django.core.mail.backends.smtp.EmailBackend'# Host for sending e-mail.EMAIL_HOST = 'localhost'# Port for sending e-mail.EMAIL_PORT = # Optional SMTP authentication information for EMAIL_HOST.EMAIL_HOST_USER = ''EMAIL_HOST_PASSWORD = ''EMAIL_USE_TLS = FalseMy email code:from django.core.mail import EmailMessageemail = EmailMessage('Hello' 'World' to=['user@gmail.com'])email.send()Of course if I setup a debugging server via python -m smtpd -n -c DebuggingServer localhost: I can see the email in my terminal.However how do I actually send the email not to the debugging server but to user@gmail.com?After reading your answers let me get something straight:<ol>Can't you use localhost(simple ubuntu pc) to send e-mails?I thought in django . send_mail() is somewhat deprecated and EmailMessage.send() is used instead?</ol>,How to send email via Django?
 python opencv ubuntu  ,Have tried everything some error just pops up in every case I have no understanding of makefiles and when I see videos where the user is having a Ubuntu system and just typing :import cvthat infuriates me not due to my lack of capability but because they don't explain how to do the installation in the first place !,How do I install open-cv for use in pycharm editor on a Ubuntu system?
 python performance pandas indexing dataframe ,"I have a data frame lets say \""df\"".Now one of the columns of the data frame is named \""itemID\"". I would like to get some how very fast the row index according to a value on the column \""itemID\"".When I do:df[df['itemID']==X]The performance is quite slow.Is there a way to create something like a hash-index in order to do the above?",Pandas Data Frame find index according to column value
 python pyodbc  ,"I have been sent an Access file to open I am using a Mac and need to open it in Pythonimport pyodbcDBfile = '/Users/burfies/Dropbox/pricing/data.accdb' conn = pyodbc.connect('DRIVER={Microsoft Access Driver (*.mdb *.accdb)};DBQ='+DBfile)  cur = conn.cursor()I get the following errorconn = pyodbc.connect('DRIVER={Microsoft Access Driver (*.mdb *.accdb)};DBQ='+DBfile)  #    user/password can be usedpyodbc.Error: ('' \""[] [unixODBC][Driver Manager]Can't open lib 'Microsoft Access Driver (*.mdb *.accdb)' : file not found () (SQLDriverConnect)\"")","Pyodbc : Can&#;t open lib &#;Microsoft Access Driver (*.mdb, *.accdb)&#; : file not found ()"
 python excel openpyxl ,I'm using openpyxl to write to an existing file and everything works fine. However after the data is saved on the file graphs disappear. I understand Openpyxl currently only supports chart creation within a worksheet only. Charts in existing workbooks will be lost.Are there any alternate libraries in Python to achieve this. I just want to feed a few values so all the graphs and calculation happen in excel.Thank you.,Graphs lost while overwriting to existing excel file in Python
 python python-.x flask slack  ,"import osfrom slackclient import SlackClientslack_token = os.environ[\""xoxp---***********************\""]sc = SlackClient(slack_token)sc.api_call(  \""chat.postMessage\""  channel=\""#random\""""  text=\""Hello testing from Python! :ravi:\"")The traceback was:Traceback (most recent call last):   File \""C:/Users/RAVI/PycharmProjects/selectdemo/slackapi basics.py\"""" line "" in &lt;module&gt;SLACK_TOKEN = os.environ('xoxp----af*****************') TypeError: '_Environ' object is not callableProcess finished with exit code I want solution for this problem for this code.""",How to send messsage to channel in slack using Python?
 python nlp python-. ,I want to compare the words and I would like to get the frequency of the words using chi-square <blockquote>  New :   York :   NY :   amp :   time :   Trump :   i :   day :   people :   diabetes : </blockquote><hr><blockquote>  New :   York :   Station :   Street :   Construction :   NY :   Incident :   time :   day :   amp : </blockquote>also how can I make New and York as one? ,Chi square in python
 python pandas dataframe  ,I have the following pandas dataframe:  id | a | b | c | d------------------  |  |  |  |   |  |  |  | and I would like to create a new df of which its columns is the difference of successive columns in the first df  new df:  id | b-a | c-b | d-c--------------------  |    |    |     |    |    |  Thank you,Pandas create df that is the product of columns in another df
 python python-. selenium selenium-webdriver ,"I make script which search for me intersted set of strings but i have error.How i can resolve below problem:links = driver.find_elements_by_xpath(\""xpath\"")for x in range( len(links)):    driver.implicitly_wait()    links[x].click()    try:        driver.implicitly_wait()        DO something        driver.back()        print(\""Mission completed!!\"")    except (ElementNotVisibleException NoSuchElementException):        driver.back()        print(\""No action\"")Error:selenium.common.exceptions.StaleElementReferenceException: Message: The element reference is stale. Either the element is no longer attached to the DOM or the page has been refreshed.in line: links[x].click()",Click links one by one with Selenium webdriver Python
 python routing blogs packages flask  ,"I'm just getting started with flask and I've hit a snag. I'm trying to write a small blog to get used to the framework so I made two packages an \""auth\"" and \""posts\"". I read through the Large Applications section in the <a href=\""http://flask.pocoo.org/docs/patterns/packages/\"" rel=\""nofollow\"">Flask docs</a>.  My directory looks like this.&gt;/root&gt;&gt;run.py &gt;&gt;/posts&gt;&gt;&gt;____init____.py  &gt;&gt;&gt;views.py  &gt;&gt;&gt;/templates&gt;&gt;&gt;/static  &gt;&gt;/auth  &gt;&gt;&gt;____init____.py  &gt;&gt;&gt;views.py  &gt;&gt;&gt;/templates&gt;&gt;&gt;/staticthe run.py looks like this:  from flask import Flaskfrom auth import auth_appfrom posts import posts_appauth_app.run()posts_app.run()/posts/__init__.py and /auth/__init__.py look like this:from flask import Flaskauth_app = Flask(__name__)import auth.viewsand the views.py look like this:from auth import auth_app@auth_app.route('/auth/')def index():    return \""hello auth!\""But whenever I run the server only the localhost/auth/ is available and everything else gives a  som I'm assuming that the posts app isnt being run. Can anyone help?",Flask: Using multiple packages in one app
 python multithreading signal-processing ,"Code :res = Subprocess.Popen(cmdexecutable=\""/bin/bash\"" shell=True stderr=subprocess.PIPE stdout=subprocess.PIPE)while not res.poll():     do something....I run the python code like:nohup python my_script.py &amp;And then i want to terminate the sctipt:kill pid_of_the_scriptBut it does not work(so the cmd procss created by Subprocess.Popen will be still there) i must use:kill - pid_of_the_scriptwhy the kill command not work here?As the kill - does not kill the cmd process neither when i capture a SIGTERM signal(this is the problem as when i send a kill command the script can not capture this signal i do register the SIGTERM signal to a signal handler) the handler first kills the cmd process and then use kill - to kill the script itself(based on the pid).updated:maybe the thread.join() method causes this.where call join in the main thread"" the main thread seems to can not handler signals...""",Why kill command can not terminate nohup python thread
 python pandas dataframe  ,"I have a question regarding plotting grouped DataFrame data.The data looks like:data =index    taste    food        good     cheese        bad      tomato        worse    tomato        worse    cheese        good     meat        good     meat        bad      cheese        worse    tomato        worse    tomato        good     cheese       worse    meat       good     meatWhat I want to do is to have a bar plot having each taste category as x-axis (good bad worse) and the percentage distribution of each food-type within each taste category as bars.So looking at e.g. taste category worse we have:  tomato  cheese and  meat. In total there are ++= food-types in the category and hence:/=% tomato/=% cheese and/=% meatSo far I have tried to use GroupBy and agg with something like:df_ = data.groupby(['taste' 'food']).agg({'taste' : 'count'})df_ = df_.groupby(level=).apply(lambda x:  * x / float(x.sum()))which seems to yield my wanted result:              tastetaste food         bad   cheese   .      tomato   .good  cheese   .      meat     .worse cheese   .      meat     .      tomato   .But now I am stuck on how to actually plot this!In Excel it would look something like:<a href=\""https://i.stack.imgur.com/TWAkb.png\"" rel=\""nofollow noreferrer\""><img src=\""https://i.stack.imgur.com/TWAkb.png\"" alt=\""enter image description here\""></a>",Bar plotting grouped Pandas
 python selenium-webdriver xlwt ,I am writing a selenium script where I need to store username password information of all the accounts I am creating.So I am using xlrd and xlwt to write information in an excel file but I am not able to find a way how script automatically detects next available row in the sheet and writes the info there. I am very new to Python.Thanks in advance.,How do I find next available column in Xls file and write there using xlrd/xlwt in Python
 python django apache wsgi django-wsgi  ,"I want to use django's user system to restrict access to locations on my apache server which are not served by django (specifically in my case a location which is a CalDAV endpoint). In particular I'd like to be able to specify that only django staff members can access them but I can't see how to do that.My configuration at the moment looks like:&lt;VirtualHost *:&gt;        ServerName cal.myhost.net        WSGIDaemonProcess cal.myhost.net python-path=... user=cal group=cal home=...        WSGIProcessGroup cal.myhost.net        WSGIScriptAlias / /usr/local/python/django-site/calendar_wsgi.py        AuthType Basic        AuthName \""Calendar access\""        AuthBasicProvider wsgi        WSGIAuthUserScript /usr/local/python/django-site/access_wsgi.py        Require valid-user        &lt;Directory /usr/local/python/django-site&gt;                Require all granted                AllowOverride None                Order allowdeny                Allow from all        &lt;/Directory&gt; &lt;/VirtualHost&gt;access_wsgi.py is a pretty vanilla access WSGI file and looks like:import osos.environ['DJANGO_SETTINGS_MODULE'] = 'mysite.settings'from django.contrib.auth.handlers.modwsgi import check_passwordI know I could work around this either by adding a django group to the users I want to allow access to and using WSGIAuthGroupScript but I'd like to know if there is a way using the apache config to test for staff-status.",Restrict access in apache config to django staff users
 python ,I am working for DW Etl testing projects.Informatica jobs used to load from source tables to Target tablesMy job:As a tester i need to write  sql queries based on the columns mentioned join condition in excel sheet to validate the loadWhat I am looking for :Is there anyway I can automate the SQl query creation by processing excel sheet via python ?If Yes how can I do that ?Mapping spec excel sheet structure:Source     column :                   Target   column :Table a            Firstname             Table c   FirstnameTable b            Lastname              Table C   lastname                   concat(finamelastna)  able C  full name,"Need to create SQL queries based on columns,Case when condition ,Join condition mentioned in excel sheet using python script"
 python numpy one-hot one-hot-encoding  ,If the input is zero I want to make an array which looks like this-[]and if it is -[]For the above I wrote:np.put(np.zeros())but it did not work.Is there any way in which this can be implemented in one line.,One Hot Encoding using numpy
